ProxyAddress,implementations,version,Proxy-Type,Creation Timestamp,Creation Date,Last Transaction Timestamp,Last Transaction Date,Total Transactions,Age,Active,Human Readable Age
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xb17bdcafd7f37100144c90aea3da609f23f7c874,2,EIP_1967_LOGIC_SLOT.csv,1608413864,12/19/20 21:37,1608413864,12/19/20 21:37,1,683604,FALSE,7.0 days 1313.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x6aef2dbc74298359f90b66ebfe8034899b9d6fef,3,EIP_1967_LOGIC_SLOT.csv,1609097468,12/27/20 19:31,1609097468,12/27/20 19:31,1,83526,FALSE,1392.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xaf5c23a6462b68573e0600aa3f7d64a7d0fb10c6,4,EIP_1967_LOGIC_SLOT.csv,1609180994,12/28/20 18:43,1609180994,12/28/20 18:43,1,1305535,FALSE,15.0 days 158.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x84f64111af018ebc7dd51ca3381def6c8936337a,5,EIP_1967_LOGIC_SLOT.csv,1610486529,1/12/21 21:22,1610486529,1/12/21 21:22,1,2329596,FALSE,26.0 days 1386.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0x0d2ed8a82064331f42e2b4650b2d742526aa125f,6,EIP_1967_LOGIC_SLOT.csv,1612816125,2/8/21 20:28,1612816125,2/8/21 20:28,1,65519,FALSE,1091.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xa1951ce0e532cfc95e7440edf21257f3b8f5a40c,7,EIP_1967_LOGIC_SLOT.csv,1612881644,2/9/21 14:40,1612881644,2/9/21 14:40,1,15896,FALSE,264.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xbd2e6383069e299a52f00abf7c6839a15621ae8c,8,EIP_1967_LOGIC_SLOT.csv,1612897540,2/9/21 19:05,1612897540,2/9/21 19:05,1,521233,FALSE,6.0 days 47.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xaf0949890da6f48af064320d36aa0a206cb5819f,9,EIP_1967_LOGIC_SLOT.csv,1613418773,2/15/21 19:52,1613418773,2/15/21 19:52,1,608302,FALSE,7.0 days 58.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xa463c93239c8e6971f156ebc62e189b05f348968,10,EIP_1967_LOGIC_SLOT.csv,1614027075,2/22/21 20:51,1614027075,2/22/21 20:51,1,12074,FALSE,201.0 minutes
0x1920d646574e097c2c487f69f40814f95d45bf8c,0xc2ef5c34a00e003b9c4e1b89c049360c0080f197,11,EIP_1967_LOGIC_SLOT.csv,1614039149,2/23/21 0:12,1614039149,2/23/21 0:12,1,1602,FALSE,26.0 minutes
