Proxy Address,Proxy Type,Year,Event Name,Event Parameters
0x8a9f904b4ead6a97f3ab304d0d2196f5c602c807,OpenZeppelin Proxy Pattern,2020,Upgraded,implementation: address
0x6c8a3a2cc9b9831d550433626b262fb9365b5f63,EIP-897: Delegate Proxy,2021,OwnershipTransferred,"previousOwner: address, newOwner: address"
0xed42b08a706d9f8cc2d1aa50fe71c892c7657353,EIP-897: Delegate Proxy,2021,OwnershipTransferred,"previousOwner: address, newOwner: address"
0x0f8bbb13d3909f2d366903cd1ca1ddf8606fe633,EIP-897: Delegate Proxy,2021,OwnershipTransferred,"previousOwner: address, newOwner: address"
0x1090d77196f26d18643294fa09b66cd1db4edb1f,EIP-897: Delegate Proxy,2021,OwnershipTransferred,"previousOwner: address, newOwner: address"
0xbf0e27fdf5ef7519a9540df401cce0a7a4cd75bc,EIP-897: Delegate Proxy,2021,OwnershipTransferred,"previousOwner: address, newOwner: address"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,AccrueInterest,"cashPrior: uint256, interestAccumulated: uint256, borrowIndex: uint256, totalBorrows: uint256"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,Approval,"owner: address, spender: address, amount: uint256"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,Borrow,"borrower: address, borrowAmount: uint256, accountBorrows: uint256, totalBorrows: uint256"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,Failure,"error: uint256, info: uint256, detail: uint256"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,LiquidateBorrow,"liquidator: address, borrower: address, repayAmount: uint256, bTokenCollateral: address, seizeTokens: uint256"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,Mint,"minter: address, mintAmount: uint256, mintTokens: uint256"
0x506c190340f786c65548c0ee17c5ecdbba7807e0,Other Upgradeable Proxy Contract,2022,NewAdmin,"oldAdmin: address, newAdmin: address"
